time,U_R1,U_R2,U_Rb1,U_Rb2,U_Id1,I_E1,I_E2,I_L1,I_Cb1,I_C1,I_R1,I_R2,I_Rb1,I _Rb2, I_Id1, U_E1, U_E2, U_L1, U_Cb1, U_C1 
1.49422e-05,-1.30119,0.375933,1.27836,0.646902,0.646902,-0.0639178,-0.065219,0.065219,5.49717e-09,0.0635419,-0.00130119,0.000375933,0.0639178,6.46902e-07,0.0639172,1,8.16497,6.86378,0.646902,0.375933
1.52044e-05,-1.35415,0.393046,1.3135,0.647607,0.647607,-0.0656749,-0.0670291,0.0670291,5.37945e-09,0.0652819,-0.00135415,0.000393046,0.0656749,6.47607e-07,0.0656743,1,8.25895,6.9048,0.647607,0.393046
1.54665e-05,-1.40774,0.410618,1.34883,0.648297,0.648297,-0.0674414,-0.0688491,0.0688491,5.26497e-09,0.0670308,-0.00140774,0.000410618,0.0674414,6.48297e-07,0.0674407,1,8.3507,6.94295,0.648297,0.410618
1.57286e-05,-1.46195,0.42865,1.38433,0.648973,0.648973,-0.0692165,-0.0706784,0.0706784,5.15356e-09,0.0687878,-0.00146195,0.00042865,0.0692165,6.48973e-07,0.0692158,1,8.44018,6.97822,0.648973,0.42865
1.59908e-05,-1.51677,0.447145,1.41999,0.649634,0.649634,-0.0709995,-0.0725162,0.0725162,5.04507e-09,0.0705523,-0.00151677,0.000447145,0.0709995,6.49634e-07,0.0709988,1,8.52736,7.01059,0.649634,0.447145
1.62529e-05,-1.57218,0.466104,1.45579,0.650282,0.650282,-0.0727896,-0.0743617,0.0743617,4.93937e-09,0.0723235,-0.00157218,0.000466104,0.0727896,6.50282e-07,0.0727889,1,8.61224,7.04006,0.650282,0.466104
1.65151e-05,-1.62817,0.485529,1.49172,0.650915,0.650915,-0.074586,-0.0762142,0.0762142,4.83633e-09,0.0741005,-0.00162817,0.000485529,0.074586,6.50915e-07,0.0745854,1,8.69477,7.06661,0.650915,0.485529
1.67772e-05,-1.68472,0.505421,1.52776,0.651536,0.651536,-0.0763881,-0.0780729,0.0780729,4.73582e-09,0.0758827,-0.00168472,0.000505421,0.0763881,6.51536e-07,0.0763875,1,8.77495,7.09023,0.651536,0.505421
1.70394e-05,-1.74183,0.525782,1.5639,0.652144,0.652144,-0.0781951,-0.079937,0.079937,4.63775e-09,0.0776693,-0.00174183,0.000525782,0.0781951,6.52144e-07,0.0781945,1,8.85275,7.11092,0.652144,0.525782
1.73015e-05,-1.79948,0.546612,1.60012,0.652739,0.652739,-0.0800062,-0.0818057,0.0818057,4.54199e-09,0.0794596,-0.00179948,0.000546612,0.0800062,6.52739e-07,0.0800056,1,8.92815,7.12867,0.652739,0.546612
1.75636e-05,-1.85765,0.567912,1.63641,0.653322,0.653322,-0.0818207,-0.0836783,0.0836783,4.44845e-09,0.0812528,-0.00185765,0.000567912,0.0818207,6.53322e-07,0.08182,1,9.00112,7.14348,0.653322,0.567912
1.78258e-05,-1.91633,0.589682,1.67275,0.653894,0.653894,-0.0836377,-0.085554,0.085554,4.35703e-09,0.083048,-0.00191633,0.000589682,0.0836377,6.53894e-07,0.0836371,1,9.07166,7.15533,0.653894,0.589682
1.80879e-05,-1.97551,0.611924,1.70913,0.654453,0.654453,-0.0854566,-0.0874321,0.0874321,4.26764e-09,0.0848447,-0.00197551,0.000611924,0.0854566,6.54453e-07,0.0854559,1,9.13973,7.16422,0.654453,0.611924
1.83501e-05,-2.03517,0.634636,1.74553,0.655001,0.655001,-0.0872765,-0.0893117,0.0893117,4.1802e-09,0.0866419,-0.00203517,0.000634636,0.0872765,6.55001e-07,0.0872759,1,9.20532,7.17015,0.655001,0.634636
1.86122e-05,-2.09529,0.65782,1.78194,0.655538,0.655538,-0.0890968,-0.0911921,0.0911921,4.09462e-09,0.088439,-0.00209529,0.00065782,0.0890968,6.55538e-07,0.0890961,1,9.26842,7.17312,0.655538,0.65782
1.88744e-05,-2.15587,0.681475,1.81833,0.656063,0.656063,-0.0909166,-0.0930725,0.0930725,4.01083e-09,0.0902351,-0.00215587,0.000681475,0.0909166,6.56063e-07,0.090916,1,9.329,7.17313,0.656063,0.681475
1.91365e-05,-2.21688,0.7056,1.8547,0.656578,0.656578,-0.0927352,-0.0949521,0.0949521,3.92874e-09,0.0920296,-0.00221688,0.0007056,0.0927352,6.56578e-07,0.0927346,1,9.38705,7.17017,0.656578,0.7056
1.93987e-05,-2.27831,0.730194,1.89104,0.657083,0.657083,-0.0945519,-0.0968302,0.0968302,3.8483e-09,0.0938217,-0.00227831,0.000730194,0.0945519,6.57083e-07,0.0945512,1,9.44255,7.16424,0.657083,0.730194
1.96608e-05,-2.34015,0.755258,1.92732,0.657577,0.657577,-0.0963658,-0.0987059,0.0987059,3.76943e-09,0.0956105,-0.00234015,0.000755258,0.0963658,6.57577e-07,0.0963651,1,9.49549,7.15534,0.657577,0.755258
1.99229e-05,-2.40237,0.78079,1.96352,0.658061,0.658061,-0.0981761,-0.100579,0.100579,3.69207e-09,0.0973954,-0.00240237,0.00078079,0.0981761,6.58061e-07,0.0981755,1,9.54586,7.14348,0.658061,0.78079
2.01851e-05,-2.46497,0.806788,1.99965,0.658535,0.658535,-0.0999823,-0.102447,0.102447,3.61616e-09,0.0991755,-0.00246497,0.000806788,0.0999823,6.58535e-07,0.0999816,1,9.59363,7.12867,0.658535,0.806788
2.04472e-05,-2.52792,0.833251,2.03567,0.658999,0.658999,-0.101783,-0.104311,0.104311,3.54164e-09,0.10095,-0.00252792,0.000833251,0.101783,6.58999e-07,0.101783,1,9.63881,7.11089,0.658999,0.833251
